timestamp,station_id,temperature,humidity,pressure,wind_speed,wind_direction,rain_mm,cloud_cover,humidity_roll_mean_3,cloud_cover_roll_mean_3,wind_speed_roll_mean_3,rain_last_3_sum,pressure_previous,pressure_change,rain_previous,rain_next,will_rain_next,humidity_score,cloud_score,pressure_drop,pressure_drop_score,previous_rain_score,wind_score,rain_risk_score,risk_class,predicted_rain_rule
2026-06-25 10:46:02.421331+00:00,GDN_01,14.99,82.22,1001.39,9.32,345,0.54,38,71.61,52.0,7.235,0.54,1027.02,-25.629999999999995,0.0,2.84,1,71.61,52.0,25.629999999999995,74.13942724905951,0,55.15267175572519,54.83,medium,0
2026-06-25 10:56:02.421331+00:00,GDN_01,14.53,66.71,1014.47,3.45,2,2.84,16,69.97666666666667,40.0,5.973333333333334,3.38,1001.39,13.080000000000041,0.54,0.54,1,69.97666666666667,40.0,0.0,0.0,100,44.03992953611273,50.4,medium,0
2026-06-25 11:06:02.421331+00:00,GDN_01,20.05,58.29,999.88,1.94,214,0.54,29,69.07333333333334,27.666666666666668,4.903333333333333,3.92,1014.47,-14.590000000000032,2.84,1.03,1,69.07333333333334,27.666666666666668,14.590000000000032,42.20422331501291,100,34.615384615384606,54.54,medium,0
2026-06-25 11:16:02.421331+00:00,GDN_01,16.79,49.01,1001.37,3.34,166,1.03,100,58.00333333333333,48.333333333333336,2.91,4.41,999.88,1.490000000000009,0.54,2.0,1,58.00333333333333,48.333333333333336,0.0,0.0,100,17.05813270698766,46.19,medium,0
2026-06-25 11:26:02.421331+00:00,GDN_01,14.65,63.77,1021.95,1.69,121,2.0,84,57.02333333333333,71.0,2.3233333333333333,3.5700000000000003,1001.37,20.58000000000004,1.03,0.0,0,57.02333333333333,71.0,0.0,0.0,100,11.890780974750431,51.05,medium,0
2026-06-25 11:36:02.421331+00:00,GDN_01,13.52,48.1,1021.18,2.17,42,0.0,23,53.626666666666665,69.0,2.4,3.0300000000000002,1021.95,-0.7700000000000955,2.0,0.45,1,53.626666666666665,69.0,0.7700000000000955,2.2273647671394037,100,12.566059894304159,50.04,medium,0
2026-06-25 11:46:02.421331+00:00,GDN_01,19.36,92.82,1012.61,7.74,236,0.45,68,68.23,58.333333333333336,3.8666666666666667,2.4499999999999997,1021.18,-8.569999999999936,0.0,0.72,1,68.23,58.333333333333336,8.569999999999936,24.79028059010673,0,25.48443922489723,42.56,medium,0
2026-06-25 11:56:02.421331+00:00,GDN_01,13.62,91.12,1021.19,6.89,49,0.72,5,77.34666666666666,32.0,5.6000000000000005,1.17,1012.61,8.580000000000041,0.45,0.25,1,77.34666666666666,32.0,0.0,0.0,100,40.75161479741632,50.28,medium,0
2026-06-25 12:06:02.421331+00:00,GDN_01,20.41,68.0,1026.34,0.02,51,0.25,46,83.98,39.666666666666664,4.883333333333334,1.42,1021.19,5.149999999999864,0.72,0.0,0,83.98,39.666666666666664,0.0,0.0,100,34.43922489724016,53.55,medium,0
2026-06-25 12:16:02.421331+00:00,GDN_01,15.73,72.79,1020.52,7.86,26,0.0,100,77.30333333333334,50.333333333333336,4.923333333333333,0.97,1026.34,-5.819999999999936,0.25,0.0,0,77.30333333333334,50.333333333333336,5.819999999999936,16.8354064217527,100,34.79154433352905,57.62,medium,0
