timestamp,station_id,temperature,humidity,pressure,wind_speed,wind_direction,rain_mm,cloud_cover,humidity_roll_mean_3,cloud_cover_roll_mean_3,wind_speed_roll_mean_3,rain_last_3_sum,pressure_previous,pressure_change,rain_previous,rain_next,will_rain_next,humidity_score,cloud_score,pressure_drop_score,previous_rain_score,wind_score,rain_risk_score,risk_class,predicted_rain_rule
2026-06-27 04:24:35.302418+00:00,GDN_01,18.42,92.04,1018.77,8.86,31,1.64,16,88.625,20.0,6.105,3.1,1025.9,-7.130000000000109,1.46,0.98,1,88.625,20.0,22.845241909644752,100,38.020833333333336,54.96,medium,0
2026-06-27 04:34:35.302418+00:00,GDN_01,20.26,58.38,1002.33,4.72,221,0.98,26,78.54333333333334,22.0,5.6433333333333335,4.08,1018.77,-16.43999999999994,1.64,0.04,1,78.54333333333334,22.0,52.67542454341551,100,33.648989898989896,57.96,medium,0
2026-06-27 04:44:35.302418+00:00,GDN_01,13.66,85.19,1022.05,0.35,95,0.04,93,78.53666666666668,45.0,4.6433333333333335,2.66,1002.33,19.719999999999917,0.98,1.12,1,78.53666666666668,45.0,0.0,100,24.179292929292927,52.23,medium,0
2026-06-27 04:54:35.302418+00:00,GDN_01,19.67,56.99,1000.7,9.8,123,1.12,78,66.85333333333334,65.66666666666667,4.956666666666667,2.14,1022.05,-21.34999999999991,0.04,0.0,0,66.85333333333334,65.66666666666667,68.40756167894894,100,27.146464646464647,67.87,high,1
2026-06-27 05:04:35.302418+00:00,GDN_01,15.58,78.42,1007.6,13.16,64,0.0,94,73.53333333333333,88.33333333333333,7.77,1.16,1000.7,6.899999999999977,1.12,1.75,1,73.53333333333333,88.33333333333333,0.0,100,53.78787878787878,64.52,medium,1
2026-06-27 05:14:35.302418+00:00,GDN_01,15.31,65.44,1003.55,6.66,13,1.75,94,66.95,88.66666666666667,9.873333333333331,2.87,1007.6,-4.050000000000068,0.0,0.18,1,66.95,88.66666666666667,12.976610060878174,0,73.70580808080805,52.22,medium,0
2026-06-27 05:24:35.302418+00:00,GDN_01,16.13,67.84,1017.09,4.5,129,0.18,19,70.56666666666666,69.0,8.106666666666667,1.93,1003.55,13.540000000000076,1.75,0.0,0,70.56666666666666,69.0,0.0,100,56.976010101010104,59.12,medium,0
2026-06-27 05:34:35.302418+00:00,GDN_01,17.32,86.96,1005.99,5.41,37,0.0,60,73.41333333333334,57.66666666666666,5.523333333333333,1.93,1017.09,-11.100000000000025,0.18,0.0,0,73.41333333333334,57.66666666666666,35.56552387055448,100,32.512626262626256,61.81,medium,1
2026-06-27 05:44:35.302418+00:00,GDN_01,14.22,58.13,1015.06,10.33,273,0.0,69,70.97666666666667,49.333333333333336,6.746666666666667,0.18,1005.99,9.069999999999936,0.0,0.93,1,70.97666666666667,49.333333333333336,0.0,0,44.097222222222214,38.04,medium,0
2026-06-27 05:54:35.302418+00:00,GDN_01,18.08,50.09,1002.75,3.45,39,0.93,37,65.06,55.333333333333336,6.396666666666667,0.93,1015.06,-12.309999999999944,0.0,1.92,1,65.06,55.333333333333336,39.442486382569605,0,40.782828282828284,45.32,medium,0
2026-06-27 06:04:35.302418+00:00,GDN_01,17.33,89.92,1013.58,4.17,359,1.92,51,66.04666666666667,52.333333333333336,5.983333333333333,2.85,1002.75,10.83000000000004,0.93,0.03,1,66.04666666666667,52.333333333333336,0.0,100,36.868686868686865,51.58,medium,0
2026-06-27 06:14:35.302418+00:00,GDN_01,16.95,72.03,1015.78,1.92,5,0.03,77,70.68,55.0,3.18,2.88,1013.58,2.199999999999932,1.92,0.36,1,70.68,55.0,0.0,100,10.321969696969695,50.99,medium,0
2026-06-27 06:24:35.302418+00:00,GDN_01,20.27,68.29,1027.7,10.54,349,0.36,29,76.74666666666667,52.333333333333336,5.543333333333333,2.31,1015.78,11.920000000000073,0.03,1.59,1,76.74666666666667,52.333333333333336,0.0,100,32.70202020202019,54.38,medium,0
2026-06-27 06:34:35.302418+00:00,GDN_01,20.02,86.19,1004.5,2.47,90,1.59,77,75.50333333333333,61.0,4.976666666666667,1.98,1027.7,-23.200000000000045,0.36,0.42,1,75.50333333333333,61.0,74.33514899070843,100,27.33585858585858,70.5,high,1
2026-06-27 06:44:35.302418+00:00,GDN_01,19.24,87.82,1010.67,0.49,230,0.42,40,80.76666666666667,48.66666666666666,4.5,2.37,1004.5,6.169999999999959,1.59,0.75,1,80.76666666666667,48.66666666666666,0.0,100,22.821969696969692,53.68,medium,0
2026-06-27 06:54:35.302418+00:00,GDN_01,13.4,94.43,1019.06,10.36,16,0.75,42,89.48,53.0,4.44,2.76,1010.67,8.389999999999986,0.42,0.0,0,89.48,53.0,0.0,100,22.25378787878788,57.32,medium,0
2026-06-27 07:04:35.302418+00:00,GDN_01,16.76,57.99,1001.18,9.64,223,0.0,0,80.08,27.33333333333333,6.830000000000001,1.1699999999999997,1019.06,-17.879999999999995,0.75,2.52,1,80.08,27.33333333333333,57.28933034283896,100,44.88636363636363,61.8,medium,1
2026-06-27 07:14:35.302418+00:00,GDN_01,13.68,93.72,1002.52,2.38,142,2.52,18,82.04666666666667,20.0,7.460000000000001,3.27,1001.18,1.3400000000000318,0.0,0.59,1,82.04666666666667,20.0,0.0,0,50.852272727272734,34.7,medium,0
2026-06-27 07:24:35.302418+00:00,GDN_01,17.68,81.45,1023.75,0.52,51,0.59,63,77.71999999999998,27.0,4.180000000000001,3.11,1002.52,21.230000000000015,2.52,1.18,1,77.71999999999998,27.0,0.0,100,19.791666666666668,47.05,medium,0
2026-06-27 07:34:35.302418+00:00,GDN_01,13.73,46.66,1001.86,3.84,63,1.18,5,73.94333333333333,28.666666666666668,2.2466666666666666,4.29,1023.75,-21.889999999999983,0.59,0.0,0,73.94333333333333,28.666666666666668,70.13777635373289,100,1.483585858585855,58.53,medium,0
2026-06-27 07:44:35.302418+00:00,GDN_01,18.8,49.12,1017.21,9.1,41,0.0,31,59.07666666666666,33.0,4.486666666666667,1.77,1001.86,15.350000000000025,1.18,0.95,1,59.07666666666666,33.0,0.0,100,22.695707070707073,43.24,medium,0
2026-06-27 07:54:35.302418+00:00,GDN_01,16.09,62.47,1018.65,6.16,48,0.95,93,52.75,43.0,6.366666666666667,2.13,1017.21,1.4399999999999409,0.0,0.61,1,52.75,43.0,0.0,0,40.49873737373738,30.62,low,0
2026-06-27 08:04:35.302418+00:00,GDN_01,19.93,53.45,1025.74,6.07,176,0.61,63,55.01333333333333,62.333333333333336,7.109999999999999,1.56,1018.65,7.090000000000032,0.95,0.48,1,55.01333333333333,62.333333333333336,0.0,100,47.53787878787878,51.84,medium,0
